"","date","flow","ss","tp","srp","no23","tkn","so4","silica"
"1",1975-01-10,67.26481408512,539000,30.9939748358627,3.22853904540236,556.876352031528,NA,NA,NA
"2",1975-01-11,73.42079579136,652666.666666667,37.5586708948475,2.85187615677209,580.67448673373,NA,NA,NA
"3",1975-01-12,65.002347072,4e+05,31.397542216538,2.54247449825436,574.724953058179,NA,NA,NA
"4",1975-01-13,49.36039593984,415333.333333333,26.7968740768396,5.27328044082386,NA,NA,NA,NA
"5",1975-01-14,35.2061641728,241000,20.9855037951154,3.45453677858053,606.852434906152,NA,NA,NA
"6",1975-01-15,26.2150138368,227000,18.4672433397015,3.09939748358627,606.852434906152,NA,NA,NA
"7",1975-01-16,21.85766995968,157000,16.2395513983739,3.22853904540236,606.852434906152,NA,NA,NA
"8",1975-01-17,13.22616563712,90000,12.333019153437,1.03313249452876,606.852434906152,NA,NA,NA
"9",1975-01-18,13.22616563712,77000,10.6541788498278,1.64655491315521,571.155232852849,NA,NA,NA
"10",1975-01-19,11.27624813568,64000,10.3958957261956,3.32539521676443,549.736911620867,NA,NA,NA
"11",1975-01-20,9.1991089152,50000,8.97533854621857,3.26082443585639,549.736911620867,NA,NA,NA
"12",1975-01-21,6.73541139456,NA,8.39420151804615,5.3270894249139,578.294673263509,NA,NA,NA
"13",1975-01-22,5.81550050304,NA,7.1027858998852,4.100244587661,571.155232852849,NA,NA,NA
"14",1975-01-23,4.71698989056,NA,6.45707809080473,4.35852771129319,553.306631826197,NA,NA,NA
"15",1975-01-24,4.59466131456,NA,6.45707809080473,5.16566247264378,542.597471210207,NA,NA,NA
"16",1975-01-25,4.77815417856,NA,6.13422418626449,5.16566247264378,535.458030799546,NA,NA,NA
"17",1975-01-26,5.21853705216,NA,6.13422418626449,5.8759410626323,528.318590388885,NA,NA,NA
"18",1975-01-27,5.74454992896,NA,6.13422418626449,5.48851637718402,528.318590388885,NA,NA,NA
"19",1975-01-28,7.02899997696,17000,8.07134761350591,6.03736801490242,492.621388335582,NA,NA,NA
"20",1975-01-29,18.50342040576,81000,10.0084710407473,4.03567380675295,442.645305460958,NA,NA,NA
"21",1975-01-30,37.0900242432,160000,15.4969874179313,3.97110302584491,394.097110668466,NA,NA,NA
"22",1975-01-31,44.1483830784,473000,25.8283123632189,5.52080176763804,384.101894093541,NA,NA,NA
"23",1975-02-01,38.9983500288,444000,25.8283123632189,4.19710075902307,401.236551079126,NA,NA,NA
"24",1975-02-02,29.72095082496,362000,23.245481126897,3.38996599767248,419.085152105778,NA,NA,NA
"25",1975-02-03,22.95373400064,208000,21.6312116041958,4.19710075902307,449.784745871619,NA,NA,NA
"26",1975-02-05,14.02130138112,144000,14.5284257043106,4.35852771129319,474.772787308931,NA,NA,NA
"27",1975-02-06,11.77290215424,126000,13.8827178952302,3.87424685448284,449.784745871619,NA,NA,NA
"28",1975-02-07,9.7740532224,136000,14.2055717997704,3.06711209313225,467.63334689827,NA,NA,NA
"29",1975-02-08,7.64308942848,70000,12.2038775916209,4.03567380675295,464.06362669294,NA,NA,NA
"30",1975-02-09,7.10239712256,58000,10.6541788498278,3.87424685448284,424.796704434306,NA,NA,NA
"31",1975-02-10,6.88220568576,50000,10.0084710407473,3.71281990221272,442.645305460958,NA,NA,NA
"32",1975-02-11,4.18119072768,39000,5.16566247264378,3.22853904540236,328.414258890388,NA,NA,NA
"33",1975-02-12,4.71698989056,33000,6.45707809080473,4.51995466356331,456.924186282279,NA,NA,NA
"34",1975-02-13,5.0888687616,36000,6.13422418626449,4.51995466356331,456.924186282279,NA,NA,NA
"35",1975-02-14,4.47233273856,33000,6.45707809080473,4.84280856810355,449.784745871619,NA,NA,NA
"36",1975-02-15,4.18119072768,29000,6.45707809080473,3.87424685448284,428.366424639637,NA,NA,NA
"37",1975-02-16,2.813557248,28000,6.45707809080473,4.84280856810355,449.784745871619,NA,NA,NA
"38",1975-02-17,4.18119072768,22000,6.13422418626449,4.84280856810355,428.366424639637,NA,NA,NA
"39",1975-02-21,28.57106221056,143000,12.1715922011669,4.84280856810355,499.760828746243,NA,NA,NA
"40",1975-02-22,21.85766995968,83000,12.7850146197934,5.35937481536792,522.607038060357,NA,NA,NA
"41",1975-02-23,60.44010283008,253000,13.1078685243336,0.968561713620709,552.592687785131,NA,NA,NA
"42",1975-02-24,105.17076993024,657000,29.4119907036155,3.35768060721846,611.136099152548,NA,NA,NA
"43",1975-02-25,115.45860317184,714000,36.1596373085065,3.35768060721846,566.871568606453,NA,NA,NA
"44",1975-02-26,112.7991799296,703000,35.8367834039662,2.90568514086213,519.751261896093,NA,NA,NA
"45",1975-02-27,88.7249161728,208000,28.6048559422649,3.22853904540236,411.231767654051,NA,NA,NA
"46",1975-02-28,62.27992461312,440000,23.4714788600752,3.71281990221272,399.808662996994,NA,NA,NA
"47",1975-03-01,45.6530245632,341000,19.4680904437763,2.90568514086213,368.395125190088,NA,NA,NA
"48",1975-03-02,36.70835908608,265000,NA,NA,342.693139711709,NA,NA,NA
"49",1975-03-03,26.545300992,135000,13.4952932097819,4.87509395855757,339.837363547445,NA,NA,NA
"50",1975-03-04,18.2024921088,119000,10.977032754368,3.42225138812651,165.635017527326,NA,NA,NA
"51",1975-03-06,10.0064775168,39400,8.23277456577603,2.90568514086213,177.772066225449,NA,NA,NA
"52",1975-03-07,10.87256383488,50800,7.32878363306337,2.71197279813799,187.053338759308,NA,NA,NA
"53",1975-03-08,21.74757424128,53600,7.45792519487946,3.68053451175869,202.046163621695,NA,NA,NA
