Datetime (date and time of sample collection),Days since 741001,"Sample Time Window, days","Flow, CFS","SS, mg/L (suspended solids)","TP, mg/L as P","SRP, mg/L, as P","NO23, mg/L as N","TKN, mg/L (Total Kjeldahl nitrogen)","Chloride, mg/L","Sulfate, mg/L","Silica, mg/L","Conductivity, ?mho","Future, NA",Month
4/23/1976 9:45,570.41,1,1190,53.9,0.151,0.04,0.4,-9,36,-9,-9,-9,,4
4/24/1976 9:45,571.41,1,1460,66.2,0.163,0.03,0.3,-9,35,-9,-9,-9,,4
4/25/1976 9:45,572.41,0.875,2753,84.9,0.179,0.02,1.3,-9,34,-9,-9,-9,,4
4/26/1976 3:45,573.16,0.505,6216,93.3,0.22,0.06,3.3,-9,35,-9,-9,-9,,4
4/26/1976 10:00,573.42,0.63,7730,56.4,0.083,0.07,3.5,-9,38,-9,-9,-9,,4
4/27/1976 10:00,574.42,1,11444,72.2,0.117,0.07,4.7,-9,38,-9,-9,-9,,4
4/28/1976 10:00,575.42,1,7938,99.9,0.115,0.08,3.8,-9,39,-9,-9,-9,,4
4/29/1976 10:00,576.42,1,6484,120,0.152,0.1,4.6,-9,42,-9,-9,-9,,4
4/30/1976 10:00,577.42,1,5018,78,0.182,0.08,7,-9,36,-9,-9,-9,,4
5/1/1976 10:00,578.42,1,4090,104,0.162,0.07,6.4,-9,36,-9,-9,-9,,5
5/2/1976 10:00,579.42,0.875,3621,79.4,0.291,0.07,6.3,-9,36,-9,-9,-9,,5
5/3/1976 4:00,580.17,0.497,2633,99.9,0.189,0.05,6,-9,38,-9,-9,-9,,5
5/3/1976 9:50,580.41,0.622,2813,102,0.354,0.06,6.6,-9,43,-9,-9,-9,,5
5/4/1976 9:50,581.41,1,1928,59.7,0.255,0.06,6.3,-9,42,-9,-9,-9,,5
5/5/1976 9:50,582.41,1,1978,64.6,0.244,0.04,5.9,-9,40,-9,-9,-9,,5
5/6/1976 9:50,583.41,1,1150,102,0.301,0.01,5.5,-9,40,-9,-9,-9,,5
5/7/1976 9:50,584.41,1,2240,53.8,0.187,0.02,5.5,-9,40,-9,-9,-9,,5
5/8/1976 9:50,585.41,1,3995,62.7,0.223,0.03,5,-9,41,-9,-9,-9,,5
5/9/1976 9:50,586.41,1,6254,82.8,0.263,0.01,6,-9,39,-9,-9,-9,,5
5/10/1976 9:50,587.41,0.502,5018,118,0.329,0.01,4.6,-9,40,-9,-9,-9,,5
5/10/1976 9:55,587.41,0.502,5018,82.6,0.422,0.15,5.5,-9,39,-9,-9,-9,,5
5/11/1976 9:55,588.41,1,4090,74.1,0.28,0.11,4.6,-9,40,-9,-9,-9,,5
5/12/1976 9:55,589.41,1,3451,84.4,0.252,0.08,3.9,-9,44,-9,-9,-9,,5
5/13/1976 9:55,590.41,1,2813,119,0.368,0.1,4.9,-9,45,-9,-9,-9,,5
5/14/1976 9:55,591.41,1,2663,134,0.41,0.1,6.1,-9,44,-9,-9,-9,,5
5/15/1976 9:55,592.41,1,1733,125,0.387,0.1,6,-9,42,-9,-9,-9,,5
5/16/1976 9:55,593.41,0.875,2240,146,0.422,0.11,5.8,-9,42,-9,-9,-9,,5
5/17/1976 3:55,594.16,0.502,1928,136,0.419,0.09,5.6,-9,42,-9,-9,-9,,5
5/17/1976 10:00,594.42,0.252,1978,160,0.353,0.1,5.8,-9,41,-9,-9,-9,,5
5/17/1976 16:00,594.67,0.25,2813,102,0.309,0.09,5.6,-9,40,-9,-9,-9,,5
5/17/1976 22:00,594.92,0.25,3795,92.4,0.275,0.08,5.6,-9,40,-9,-9,-9,,5
5/18/1976 4:00,595.17,0.25,3932,105,0.3,0.1,6,-9,40,-9,-9,-9,,5
5/18/1976 10:00,595.42,0.25,4090,192,0.49,0.11,7.6,-9,33,-9,-9,-9,,5
5/18/1976 16:00,595.67,0.25,3656,292,0.516,0.12,9.2,-9,31,-9,-9,-9,,5
5/18/1976 22:00,595.92,0.25,3760,260,0.692,0.21,8.1,-9,33,-9,-9,-9,,5
5/19/1976 4:00,596.17,0.25,3093,235,0.485,0.14,9.5,-9,35,-9,-9,-9,,5
5/19/1976 10:00,596.42,0.625,3029,226,0.47,0.14,8.7,-9,36,-9,-9,-9,,5
5/20/1976 10:00,597.42,1,2575,119,0.305,0.08,6.6,-9,37,-9,-9,-9,,5
5/21/1976 10:00,598.42,1,2133,106,0.322,0.05,5.3,-9,37,-9,-9,-9,,5
5/22/1976 10:00,599.42,1,1709,144,0.346,0.03,4.7,-9,38,-9,-9,-9,,5
5/23/1976 10:00,600.42,0.875,1592,150,-9,0.03,4.3,-9,39,-9,-9,-9,,5
5/24/1976 4:00,601.17,0.502,1150,163,0.354,0.02,4.1,-9,40,-9,-9,-9,,5
5/24/1976 10:05,601.42,0.627,1438,156,0.364,0.046,4.1,-9,43,-9,-9,-9,,5
5/25/1976 10:05,602.42,1,1230,108,0.245,0.038,4.2,-9,40,-9,-9,-9,,5
5/26/1976 10:05,603.42,1,1170,102,0.24,0.04,4.3,-9,39,-9,-9,-9,,5
5/27/1976 10:05,604.42,1,900,109,0.232,0.03,4,-9,39,-9,-9,-9,,5
5/28/1976 10:05,605.42,1,959,106,0.25,0.028,3.8,-9,41,-9,-9,-9,,5
5/29/1976 10:05,606.42,1,863,118,0.274,0.015,3.5,-9,41,-9,-9,-9,,5
5/30/1976 10:05,607.42,0.875,788,99.7,0.258,-9,3,-9,41,-9,-9,-9,,5
5/31/1976 4:05,608.17,0.507,825,91.2,0.261,0.01,2.8,-9,41,-9,-9,-9,,5
5/31/1976 10:25,608.43,0.257,938,87.3,0.234,0.09,3.1,-9,42,-9,-9,-9,,5
5/31/1976 16:25,608.68,0.25,1190,116,0.3,0.12,3.1,-9,42,-9,-9,-9,,5
5/31/1976 22:25,608.93,0.25,1210,88.1,0.25,0.11,2.9,-9,42,-9,-9,-9,,5
6/1/1976 4:25,609.18,0.25,1210,101,0.278,0.13,2.9,-9,43,-9,-9,-9,,6
6/1/1976 10:25,609.43,0.25,1271,102,0.262,0.14,2.9,-9,43,-9,-9,-9,,6
6/1/1976 16:25,609.68,0.25,1271,117,0.292,0.19,2.7,-9,43,-9,-9,-9,,6
6/1/1976 22:25,609.93,0.25,1569,83.6,0.247,0.11,2.8,-9,43,-9,-9,-9,,6
6/2/1976 4:25,610.18,0.25,2133,118,0.302,0.13,3,-9,44,-9,-9,-9,,6
6/2/1976 10:25,610.43,0.25,2348,102,0.286,0.12,2.9,-9,44,-9,-9,-9,,6
6/2/1976 16:25,610.68,0.25,2133,124,0.276,0.11,2.9,-9,45,-9,-9,-9,,6
6/2/1976 22:25,610.93,0.25,2935,83.9,0.242,0.11,3.1,-9,44,-9,-9,-9,,6
6/3/1976 4:25,611.18,0.25,4281,88.6,0.235,0.12,3.1,-9,43,-9,-9,-9,,6
6/3/1976 10:25,611.43,0.25,4744,93.8,0.244,0.11,3.6,-9,43,-9,-9,-9,,6
6/3/1976 16:25,611.68,0.25,4677,117,0.27,0.1,2.9,-9,43,-9,-9,-9,,6
6/3/1976 22:25,611.93,0.25,5441,90.5,0.226,0.1,2.9,-9,42,-9,-9,-9,,6
6/4/1976 4:25,612.18,0.25,6027,103,0.265,0.08,3.5,-9,43,-9,-9,-9,,6
6/4/1976 10:25,612.43,0.25,5805,72.5,0.218,0.08,3.6,-9,43,-9,-9,-9,,6
6/4/1976 16:25,612.68,0.25,5018,101,0.26,0.06,3.1,-9,43,-9,-9,-9,,6
6/4/1976 22:25,612.93,0.25,4914,87.5,0.26,0.06,3.2,-9,44,-9,-9,-9,,6
6/5/1976 4:25,613.18,0.25,4643,77.8,0.256,0.07,3.7,-9,45,-9,-9,-9,,6
6/5/1976 10:25,613.43,0.25,4153,74.7,0.307,0.1,4.2,-9,46,-9,-9,-9,,6
6/5/1976 16:25,613.68,0.25,3760,88.7,0.28,0.05,4.3,-9,48,-9,-9,-9,,6
6/5/1976 22:25,613.93,0.25,3156,81.1,0.262,0.05,4.3,-9,50,-9,-9,-9,,6
6/6/1976 4:25,614.18,0.25,2966,64,0.244,0.04,4.3,-9,52,-9,-9,-9,,6
6/6/1976 10:25,614.43,0.375,2693,63.6,0.262,0.07,5.1,-9,54,-9,-9,-9,,6
6/6/1976 22:25,614.93,0.375,2213,72.3,0.274,0.02,7.3,-9,54,-9,-9,-9,,6
6/7/1976 4:25,615.18,0.234,2080,77.7,0.26,0.03,8.4,-9,53,-9,-9,-9,,6
6/7/1976 9:40,615.4,0.234,1903,44.4,0.266,0.11,10.1,-9,51,-9,-9,-9,,6
6/7/1976 15:40,615.65,0.25,1828,74.2,0.286,0.11,10.4,-9,50,-9,-9,-9,,6
6/7/1976 21:40,615.9,0.25,1709,89.4,0.319,0.07,10.8,-9,48,-9,-9,-9,,6
6/8/1976 3:40,616.15,0.25,1547,86.4,0.305,0.06,11,-9,48,-9,-9,-9,,6
6/8/1976 9:40,616.4,0.25,1525,62.5,0.389,0.08,11.3,-9,48,-9,-9,-9,,6
6/8/1976 15:40,616.65,0.25,1592,106,0.306,0.06,10.9,-9,47,-9,-9,-9,,6
6/8/1976 21:40,616.9,0.25,1547,94.4,0.265,0.06,10.8,-9,47,-9,-9,-9,,6
6/9/1976 3:40,617.15,0.25,1373,84.8,0.288,0.06,10.3,-9,47,-9,-9,-9,,6
6/9/1976 9:40,617.4,0.25,1331,103,0.299,0.06,10.8,-9,47,-9,-9,-9,,6
6/9/1976 15:40,617.65,0.25,1395,112,0.301,0.05,10.7,-9,47,-9,-9,-9,,6
6/9/1976 21:40,617.9,0.25,1150,108,0.307,0.04,10.6,-9,47,-9,-9,-9,,6
6/10/1976 3:40,618.15,0.25,1465.6,125,0.364,0.04,10.3,-9,47,-9,-9,-9,,6
6/10/1976 9:40,618.4,0.25,1170,134,0.357,0.06,10.6,-9,47,-9,-9,-9,,6
6/10/1976 15:40,618.65,0.25,1129,128,0.364,0.04,10.6,-9,47,-9,-9,-9,,6
6/10/1976 21:40,618.9,0.25,1230,146,0.37,0.04,10.5,-9,47,-9,-9,-9,,6
6/11/1976 3:40,619.15,0.25,844,96.3,0.292,0.03,10.6,-9,47,-9,-9,-9,,6
6/11/1976 9:40,619.4,0.25,788,136,0.341,0.05,11.2,-9,47,-9,-9,-9,,6
6/11/1976 15:40,619.65,0.25,938,119,0.323,0.04,11.5,-9,46,-9,-9,-9,,6
6/11/1976 21:40,619.9,0.25,881,133,0.357,0.04,11.8,-9,46,-9,-9,-9,,6
6/12/1976 3:40,620.15,0.25,602,116,0.329,0.03,12,-9,46,-9,-9,-9,,6
6/12/1976 9:40,620.4,0.25,515,143,0.395,0.04,12.1,-9,46,-9,-9,-9,,6
6/12/1976 15:40,620.65,0.25,515,181,0.455,0.04,12.3,-9,46,-9,-9,-9,,6
6/12/1976 21:40,620.9,0.25,433,139,0.395,0.04,12.5,-9,45,-9,-9,-9,,6
6/13/1976 3:40,621.15,0.25,515,113,0.356,0.03,12.5,-9,45,-9,-9,-9,,6
6/13/1976 9:40,621.4,0.25,717,244,0.569,0.04,12.7,-9,45,-9,-9,-9,,6
6/13/1976 15:40,621.65,0.25,734,200,0.456,0.04,13,-9,45,-9,-9,-9,,6
6/13/1976 21:40,621.9,0.25,635,145,0.378,0.04,13.2,-9,45,-9,-9,-9,,6
6/14/1976 3:40,622.15,0.248,515,128,0.351,0.05,13.7,-9,45,-9,-9,-9,,6
6/14/1976 9:35,622.4,0.623,501,85.8,0.315,0.16,11.8,-9,52,-9,-9,-9,,6
6/15/1976 9:35,623.4,1,397,64.5,0.287,0.16,13,-9,48,-9,-9,-9,,6
6/16/1976 9:35,624.4,1,409,49,0.267,0.16,13.1,-9,51,-9,-9,-9,,6
6/17/1976 9:35,625.4,1,325,59.8,0.281,0.14,13.1,-9,52,-9,-9,-9,,6
6/18/1976 9:35,626.4,1,294,50.7,0.288,0.12,12.6,-9,52,-9,-9,-9,,6
6/19/1976 9:35,627.4,1,543,66.9,0.308,0.1,13.1,-9,49,-9,-9,-9,,6
6/20/1976 9:35,628.4,0.875,586,56,0.299,0.1,12.8,-9,48,-9,-9,-9,,6
6/21/1976 3:35,629.15,0.504,501,48.5,0.297,0.1,11.6,-9,51,-9,-9,-9,,6
6/21/1976 9:47,629.41,0.379,619,87.2,0.31,0.15,13.7,-9,45,-9,-9,-9,,6
6/21/1976 21:47,629.91,0.5,806,118,0.32,0.14,13.3,-9,47,-9,-9,-9,,6
6/22/1976 9:47,630.41,0.5,900,132,0.353,0.12,12.5,-9,48,-9,-9,-9,,6
6/22/1976 21:47,630.91,0.5,900,82.1,0.295,0.09,12.6,-9,47,-9,-9,-9,,6
6/23/1976 9:47,631.41,0.5,919,132,0.35,0.11,12.7,-9,47,-9,-9,-9,,6
6/23/1976 21:47,631.91,0.5,788,96.7,0.324,0.09,12.3,-9,48,-9,-9,-9,,6
6/24/1976 9:47,632.41,0.5,825,244,0.367,0.1,12.6,-9,48,-9,-9,-9,,6
6/24/1976 21:47,632.91,0.5,1210,148,0.379,0.09,11.9,-9,48,-9,-9,-9,,6
6/25/1976 9:47,633.41,0.5,1129,130,0.352,0.09,11.2,-9,47,-9,-9,-9,,6
6/25/1976 21:47,633.91,0.5,959,115,0.332,0.06,10.9,-9,48,-9,-9,-9,,6
6/26/1976 9:47,634.41,0.5,1065,124,0.517,0.07,10.2,-9,47,-9,-9,-9,,6
6/26/1976 21:47,634.91,0.5,1953,134,0.338,0.03,9.4,-9,48,-9,-9,-9,,6
6/27/1976 9:47,635.41,0.5,2160,110,0.305,0.05,9,-9,49,-9,-9,-9,,6
6/27/1976 21:47,635.91,0.375,2575,102,0.297,0.03,7.4,-9,50,-9,-9,-9,,6
6/28/1976 3:47,636.16,0.25,2462,104,0.304,0.03,7.2,-9,51,-9,-9,-9,,6
6/28/1976 9:47,636.41,0.375,2320,99,0.313,0.09,4.9,1.7,48,-9,-9,-9,,6
6/28/1976 21:47,636.91,0.5,2546,108,0.309,0.07,5.5,1.9,49,-9,-9,-9,,6
6/29/1976 9:47,637.41,0.5,2320,96.7,0.3,0.07,5.3,1.6,49,-9,-9,-9,,6
6/29/1976 21:47,637.91,0.5,2133,86,0.267,0.05,5.1,1.7,49,-9,-9,-9,,6
6/30/1976 9:47,638.41,0.5,2213,106,0.276,0.03,4.6,1.5,49,-9,-9,-9,,6
6/30/1976 21:47,638.91,0.5,2348,90,0.277,-9,3.1,-9,51,-9,-9,-9,,6
7/1/1976 9:47,639.41,0.5,1828,86.6,0.278,0.05,2,1.58,52,-9,-9,-9,,7
7/1/1976 21:47,639.91,0.5,1569,117,0.321,0.05,2,1.54,50,-9,-9,-9,,7
7/2/1976 9:47,640.41,0.5,1733,77.5,0.288,0.04,2.2,1.85,49,-9,-9,-9,,7
7/2/1976 21:47,640.91,0.5,1780,109,0.347,0.03,2.2,1.81,50,-9,-9,-9,,7
7/3/1976 9:47,641.41,0.5,1547,79.4,0.321,0.07,2.5,1.88,51,-9,-9,-9,,7
7/3/1976 21:47,641.91,0.5,1150,96.9,0.341,0.05,2.9,1.61,50,-9,-9,-9,,7
7/4/1976 9:47,642.41,0.5,1438,88.3,0.352,0.09,3.6,1.67,47,-9,-9,-9,,7
7/4/1976 21:47,642.91,0.375,1311,102,0.348,0.07,3.6,1.83,44,-9,-9,-9,,7
7/5/1976 3:47,643.16,0.248,1438,83.6,0.364,0.08,3.7,2.1,44,-9,-9,-9,,7
7/5/1976 9:40,643.4,0.373,1460,87.1,0.358,0.17,4.8,-9,46,-9,-9,-9,,7
7/5/1976 21:40,643.9,0.5,1210,107,0.369,0.16,5.2,-9,46,-9,-9,-9,,7
7/6/1976 9:40,644.4,0.5,1210,99.7,0.365,0.16,6.3,-9,45,-9,-9,-9,,7
7/6/1976 21:40,644.9,0.5,1002,93,0.339,0.15,6.5,-9,45,-9,-9,-9,,7
7/7/1976 9:40,645.4,0.5,919,83,0.325,0.11,6.3,-9,44,-9,-9,-9,,7
7/7/1976 21:40,645.9,0.5,919,118,0.365,0.12,6.4,-9,43,-9,-9,-9,,7
7/8/1976 9:40,646.4,0.5,717,89.1,0.305,0.09,6.3,-9,43,-9,-9,-9,,7
7/8/1976 21:40,646.9,0.5,668,91.9,0.318,0.09,6.3,-9,42,-9,-9,-9,,7
7/9/1976 9:40,647.4,0.5,668,74.5,0.265,0.04,6.3,-9,41,-9,-9,-9,,7
7/9/1976 21:40,647.9,0.5,734,116,0.314,0.04,6,-9,40,-9,-9,-9,,7
7/10/1976 9:40,648.4,0.5,586,78.3,0.261,0.01,5.7,-9,40,-9,-9,-9,,7
7/10/1976 21:40,648.9,0.5,806,119,0.319,0.01,5.4,-9,40,-9,-9,-9,,7
7/11/1976 9:40,649.4,0.5,788,154,0.333,-9,5,-9,46,-9,-9,-9,,7
7/11/1976 21:40,649.9,0.375,1129,94.5,0.3,0.01,5.4,-9,41,-9,-9,-9,,7
7/12/1976 3:40,650.15,0.319,558,112,0.286,-9,5.1,-9,40,-9,-9,-9,,7
7/12/1976 13:00,650.54,0.444,433,83.2,0.142,0.08,4.6,-9,41,-9,-9,-9,,7
7/13/1976 1:00,651.04,0.5,543,79.6,0.112,0.1,3.9,-9,43,-9,-9,-9,,7
7/13/1976 13:00,651.54,0.5,325,92.7,0.106,0.08,4.6,-9,41,-9,-9,-9,,7
7/14/1976 1:00,652.04,0.5,325,75.4,0.061,0.06,4.4,-9,42,-9,-9,-9,,7
7/14/1976 13:00,652.54,0.5,421,62.6,0.059,0.07,4.5,-9,41,-9,-9,-9,,7
7/15/1976 1:00,653.04,0.5,701,69.9,0.049,0.06,4.5,-9,41,-9,-9,-9,,7
7/15/1976 13:00,653.54,0.5,361,61.7,0.061,0.09,4.4,-9,42,-9,-9,-9,,7
7/16/1976 1:00,654.04,0.5,684,73.5,0.075,0.07,4.2,-9,42,-9,-9,-9,,7
7/16/1976 13:00,654.54,0.5,349,73.8,0.078,0.16,3.6,-9,44,-9,-9,-9,,7
7/17/1976 1:00,655.04,0.5,421,59.9,0.052,0.12,3.9,-9,43,-9,-9,-9,,7
7/17/1976 13:00,655.54,0.5,274,69.2,0.065,0.08,4.2,-9,41,-9,-9,-9,,7
7/18/1976 1:00,656.04,0.5,315,83.8,0.063,0.07,4.2,-9,41,-9,-9,-9,,7
7/18/1976 13:00,656.54,0.5,254,79.8,0.046,0.05,4.2,-9,40,-9,-9,-9,,7
7/19/1976 1:00,657.04,0.375,385,65.6,0.031,0.04,4.1,-9,41,-9,-9,-9,,7
7/19/1976 7:00,657.29,0.25,284,97.9,0.048,0.05,4.1,-9,41,-9,-9,-9,,7
7/19/1976 13:00,657.54,0.375,243,71.6,0.552,0.1,5.1,-9,38,-9,-9,-9,,7
7/20/1976 1:00,658.04,0.5,264,60,0.235,0.06,4.3,-9,38,-9,-9,-9,,7
7/20/1976 13:00,658.54,0.5,243,72.9,0.242,0.1,4.6,-9,39,-9,-9,-9,,7
7/21/1976 1:00,659.04,0.5,325,107,0.253,0.08,4.3,-9,40,-9,-9,-9,,7
7/21/1976 13:00,659.54,0.5,421,69.8,0.322,0.14,4.2,-9,40,-9,-9,-9,,7
7/22/1976 1:00,660.04,0.5,373,73.1,0.25,0.09,3.8,-9,38,-9,-9,-9,,7
7/22/1976 13:00,660.54,0.5,361,93.7,0.27,0.09,3.6,-9,38,-9,-9,-9,,7
7/23/1976 1:00,661.04,0.375,349,86.1,0.276,0.08,3.3,-9,39,-9,-9,-9,,7
7/23/1976 7:00,661.29,0.25,558,67.7,0.234,0.06,3,-9,38,-9,-9,-9,,7
7/23/1976 13:00,661.54,0.25,769,86.6,0.31,0.08,2.8,-9,38,-9,-9,-9,,7
7/23/1976 19:00,661.79,0.25,1023,73.7,0.263,0.05,2.7,-9,37,-9,-9,-9,,7
7/24/1976 1:00,662.04,0.25,1086,64.3,0.246,0.07,2.7,-9,38,-9,-9,-9,,7
7/24/1976 7:00,662.29,0.25,1065,85.1,0.287,0.09,2.7,-9,38,-9,-9,-9,,7
7/24/1976 13:00,662.54,0.25,1023,80.7,0.286,0.08,2.7,-9,38,-9,-9,-9,,7
7/24/1976 19:00,662.79,0.25,1065,97.6,0.294,0.05,2.6,-9,37,-9,-9,-9,,7
7/25/1976 1:00,663.04,0.25,1291,104,0.298,0.05,2.6,-9,39,-9,-9,-9,,7
7/25/1976 7:00,663.29,0.25,1416,110,0.316,0.08,2.5,-9,41,-9,-9,-9,,7
7/25/1976 13:00,663.54,0.25,1438,112,0.331,0.09,2.4,-9,52,-9,-9,-9,,7
7/25/1976 19:00,663.79,0.25,1373,111,0.331,0.1,2.4,-9,46,-9,-9,-9,,7
7/26/1976 1:00,664.04,0.25,1311,90.4,0.323,0.09,2.2,-9,42,-9,-9,-9,,7
7/26/1976 7:00,664.29,0.25,1311,107,0.342,0.09,2.3,-9,43,-9,-9,-9,,7
7/26/1976 13:00,664.54,0.375,1373,88.6,0.321,0.21,3,-9,49,-9,-9,-9,,7
7/27/1976 1:00,665.04,0.5,1230,85.5,0.302,0.17,2.6,-9,49,-9,-9,-9,,7
7/27/1976 13:00,665.54,0.5,1311,89.3,0.29,0.17,2.5,-9,49,-9,-9,-9,,7
7/28/1976 1:00,666.04,0.5,1044,80.6,0.275,0.14,2.1,-9,49,-9,-9,-9,,7
7/28/1976 13:00,666.54,0.5,980,99.5,0.313,0.17,2.1,-9,50,-9,-9,-9,,7
7/29/1976 1:00,667.04,0.5,959,75,0.25,0.12,1.7,-9,50,-9,-9,-9,,7
7/29/1976 13:00,667.54,0.5,900,94,0.295,0.13,1.5,-9,52,-9,-9,-9,,7
7/30/1976 1:00,668.04,0.5,734,81.9,0.243,0.13,1.3,-9,52,-9,-9,-9,,7
7/30/1976 13:00,668.54,0.5,619,73.5,0.264,0.12,1.1,-9,53,-9,-9,-9,,7
7/31/1976 1:00,669.04,0.5,769,58.1,0.235,0.12,1,-9,53,-9,-9,-9,,7
7/31/1976 13:00,669.54,0.5,844,51.3,0.264,0.12,1,-9,54,-9,-9,-9,,7
8/1/1976 1:00,670.04,0.5,651,70,0.279,0.09,0.8,-9,55,-9,-9,-9,,8
8/1/1976 13:00,670.54,0.5,586,50.9,0.267,0.1,0.8,-9,55,-9,-9,-9,,8
8/2/1976 1:00,671.04,0.375,586,61.3,0.264,0.05,0.7,-9,55,-9,-9,-9,,8
8/2/1976 7:00,671.29,0.375,529,57.6,0.242,0.07,0.7,-9,55,-9,-9,-9,,8
8/2/1976 19:00,671.79,0.375,409,59.5,0.223,0.12,1.2,-9,56,-9,-9,-9,,8
8/3/1976 1:00,672.04,0.25,373,66.8,0.249,0.13,1.3,-9,56,-9,-9,-9,,8
8/3/1976 7:00,672.29,0.25,373,50.7,0.27,0.14,1.3,-9,56,-9,-9,-9,,8
8/3/1976 13:00,672.54,0.25,421,82.5,0.246,0.12,1.1,-9,55,-9,-9,-9,,8
8/3/1976 19:00,672.79,0.25,473,67.8,0.199,0.12,1.2,-9,55,-9,-9,-9,,8
8/4/1976 1:00,673.04,0.25,473,73.3,0.175,0.11,1.1,-9,55,-9,-9,-9,,8
8/4/1976 7:00,673.29,0.25,487,57.2,0.172,0.1,1,-9,55,-9,-9,-9,,8
8/4/1976 13:00,673.54,0.25,459,47,0.172,0.09,0.8,-9,54,-9,-9,-9,,8
8/4/1976 19:00,673.79,0.25,409,65.2,0.196,0.09,0.6,-9,54,-9,-9,-9,,8
8/5/1976 1:00,674.04,0.25,385,54.1,0.216,0.07,0.7,-9,54,-9,-9,-9,,8
8/5/1976 7:00,674.29,0.25,284,55.6,0.24,0.09,0.7,-9,54,-9,-9,-9,,8
8/5/1976 13:00,674.54,0.25,254,61.9,0.227,0.07,0.6,-9,54,-9,-9,-9,,8
8/5/1976 19:00,674.79,0.25,349,64.3,0.245,0.07,0.5,-9,54,-9,-9,-9,,8
8/6/1976 1:00,675.04,0.25,349,63.8,0.244,-9,0.5,-9,54,-9,-9,-9,,8
8/6/1976 7:00,675.29,0.25,294,56.6,0.243,0.08,0.5,-9,53,-9,-9,-9,,8
8/6/1976 13:00,675.54,0.25,243,60.3,0.241,0.07,0.4,-9,53,-9,-9,-9,,8
8/6/1976 19:00,675.79,0.25,305,62,0.233,0.07,0.4,-9,53,-9,-9,-9,,8
8/7/1976 1:00,676.04,0.25,373,91.7,0.291,0.08,0.5,-9,53,-9,-9,-9,,8
8/7/1976 7:00,676.29,0.25,409,82.3,0.259,0.07,0.4,-9,53,-9,-9,-9,,8
8/7/1976 13:00,676.54,0.25,349,87.3,0.299,0.06,0.4,-9,52,-9,-9,-9,,8
8/7/1976 19:00,676.79,0.25,294,94.6,0.289,0.05,0.4,-9,51,-9,-9,-9,,8
8/8/1976 1:00,677.04,0.25,243,98.7,0.319,0.07,0.4,-9,51,-9,-9,-9,,8
8/8/1976 7:00,677.29,0.375,284,95.9,0.307,0.06,0.4,-9,50,-9,-9,-9,,8
8/8/1976 19:00,677.79,0.375,274,68.8,0.27,0.03,0.2,-9,49,-9,-9,-9,,8
8/9/1976 1:00,678.04,1,361,103.3,0.299,0.03,0.3,-9,49,-9,-9,-9,,8
8/30/1976 13:00,699.54,1,41,63.5,0.325,0.183,0.02,-9,56.2,-9,-9,-9,,8
8/31/1976 13:00,700.54,1,74,51.6,0.315,0.172,0.26,-9,57.1,-9,-9,-9,,8
9/1/1976 13:00,701.54,1,70,57.8,0.312,0.178,0.3,-9,58,-9,-9,-9,,9
9/2/1976 13:00,702.54,1,45,47.4,0.29,0.153,0.18,-9,57.9,-9,-9,-9,,9
9/3/1976 13:00,703.54,1,66,52.2,0.295,0.151,0.11,-9,58.3,-9,-9,-9,,9
9/4/1976 13:00,704.54,1,70,50.2,0.319,0.135,0.07,-9,59.4,-9,-9,-9,,9
9/5/1976 13:00,705.54,0.875,49,47.3,0.331,0.144,0.07,-9,60,-9,-9,-9,,9
9/6/1976 7:00,706.29,0.5,13,5.4,0.379,0.133,0.04,-9,59.7,-9,-9,-9,,9
9/6/1976 13:00,706.54,0.625,17,58.4,0.325,0.203,0.28,-9,60.3,-9,-9,-9,,9
9/7/1976 13:00,707.54,1,66,72.2,0.358,0.184,0.19,-9,61.6,-9,-9,-9,,9
9/8/1976 13:00,708.54,1,74,57.9,0.34,0.176,0.06,-9,62.2,-9,-9,-9,,9
9/9/1976 13:00,709.54,1,62,47.7,0.317,0.17,0.06,-9,63.3,-9,-9,-9,,9
9/10/1976 13:00,710.54,1,199,66.7,0.341,0.147,0.06,-9,63.8,-9,-9,-9,,9
9/11/1976 13:00,711.54,1,41,99.7,0.396,0.146,0.07,-9,64.4,-9,-9,-9,,9
9/12/1976 13:00,712.54,0.875,58,84.8,0.442,0.158,0.05,-9,65.8,-9,-9,-9,,9
9/13/1976 7:00,713.29,0.5,101,91.5,0.442,0.151,0.04,-9,66.5,-9,-9,-9,,9
9/13/1976 13:00,713.54,0.375,137,71.9,0.398,0.218,0.38,-9,67.1,-9,-9,-9,,9
9/14/1976 1:00,714.04,0.5,199,74.3,0.352,0.195,0.2,-9,67.6,-9,-9,-9,,9
9/14/1976 13:00,714.54,0.5,83,54.9,0.329,0.178,0.12,-9,68.5,-9,-9,-9,,9
9/15/1976 1:00,715.04,0.5,125,83,0.362,0.183,0.21,-9,69.2,-9,-9,-9,,9
9/15/1976 13:00,715.54,0.5,89,85.9,0.354,0.178,0.12,-9,69.3,-9,-9,-9,,9
9/16/1976 1:00,716.04,0.5,79,87.9,0.359,0.168,0.16,-9,69.3,-9,-9,-9,,9
9/16/1976 13:00,716.54,0.5,89,71.2,0.341,0.166,0.09,-9,70,-9,-9,-9,,9
9/17/1976 1:00,717.04,0.5,143,111,0.387,0.16,0.15,-9,68.9,-9,-9,-9,,9
9/17/1976 13:00,717.54,0.5,215,71.8,0.317,0.141,0.15,-9,69.8,-9,-9,-9,,9
