Datetime (date and time of sample collection),Days since 741001,"Sample Time Window, days","Flow, CFS","SS, mg/L (suspended solids)","TP, mg/L as P","SRP, mg/L, as P","NO23, mg/L as N","TKN, mg/L (Total Kjeldahl nitrogen)","Chloride, mg/L","Sulfate, mg/L","Silica, mg/L","Conductivity, ?mho","Future, NA",Month
3/6/1975 18:00,156.75,1.5,4090,39.4,0.255,0.09,2.49,-9,20,-9,-9,-9,,3
3/7/1975 18:00,157.75,1,4444,50.8,0.227,0.084,2.62,-9,25,-9,-9,-9,,3
3/8/1975 18:00,158.75,1,8889,53.6,0.231,0.114,2.83,-9,23.7,-9,-9,-9,,3
3/9/1975 18:00,159.75,1,9609,47.9,0.224,0.096,3,-9,28.9,-9,-9,-9,,3
3/10/1975 18:00,160.75,1,8194,149,0.25,0.09,5.56,-9,28,-9,-9,-9,,3
3/11/1975 18:00,161.75,1,5952,28.2,0.3,0.155,6.78,-9,35,-9,-9,-9,,3
3/12/1975 18:00,162.75,1,5915,58.7,0.25,0.12,6.79,-9,32,-9,-9,-9,,3
3/13/1975 18:00,163.75,1,5878,61.6,0.22,0.107,6.7,-9,36,-9,-9,-9,,3
3/14/1975 18:00,164.75,1,6955,20.8,0.23,0.106,6.82,-9,37,-9,-9,-9,,3
3/15/1975 18:00,165.75,1,5694,44.4,0.21,0.107,6.7,-9,21,-9,-9,-9,,3
3/16/1975 18:00,166.75,1,4845,32.4,0.21,0.115,6.9,-9,38,-9,-9,-9,,3
3/17/1975 18:00,167.75,2,4914,21.2,0.2,0.115,7.3,-9,43,-9,-9,-9,,3
3/20/1975 18:00,170.75,2,9655,51.6,0.17,0.07,3.7,-9,23,-9,-9,-9,,3
3/21/1975 18:00,171.75,1,9023,80.9,0.26,0.103,6.82,-9,40,-9,-9,-9,,3
3/22/1975 18:00,172.75,1,8023,74.5,0.34,0.113,7.3,-9,40,-9,-9,-9,,3
3/23/1975 18:00,173.75,1,6065,66.6,0.3,0.116,7.2,-9,38,-9,-9,-9,,3
3/24/1975 18:00,174.75,1.5,6406,90.8,0.335,0.11,7.12,-9,29.5,-9,-9,-9,,3
3/26/1975 18:00,176.75,1.5,4576,57.9,-9,0.115,6.5,-9,48,-9,-9,-9,,3
